ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,21,-4.750000,-4.250000,6.286693,26,0.280593,0.911040,0.013952,0,0
0,22,-4.750000,-3.750000,6.145706,78,0.818934,0.970107,0.013777,0,0
0,23,-4.750000,-3.250000,5.971001,28,0.443742,0.928525,0.013565,0,0
0,24,-4.750000,-2.750000,5.835633,30,0.345078,0.939638,0.013405,0,0
0,25,-4.750000,-2.250000,5.353244,45,0.297023,0.984185,0.012866,0,0
0,26,-4.750000,-1.750000,5.378233,56,0.328182,0.988294,0.012893,0,0
0,27,-4.750000,-1.250000,5.123273,182,1.000000,0.988802,0.012625,0,0
0,28,-4.750000,-0.750000,5.079059,170,0.195704,0.997806,0.012580,0,0
0,29,-4.750000,-0.250000,5.062574,171,0.205456,0.998133,0.012563,0,0
0,30,-4.750000,0.250000,5.017147,176,0.344146,0.996377,0.012517,0,0
0,31,-4.750000,0.750000,5.093864,161,0.163844,0.998081,0.012595,0,0
0,32,-4.750000,1.250000,5.211816,147,0.350778,0.997718,0.012716,0,0
0,33,-4.750000,1.750000,5.340719,128,0.788694,0.994198,0.012852,0,0
0,34,-4.750000,2.250000,5.608628,83,0.814030,0.986948,0.013146,0,0
1,15,-4.250000,-7.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,19,-4.250000,-5.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,20,-4.250000,-4.750000,6.403800,5,0.098119,0.389780,0.014101,0,0
1,21,-4.250000,-4.250000,6.032617,60,0.642138,0.976776,0.013639,0,0
1,22,-4.250000,-3.750000,5.801368,57,0.580939,0.970389,0.013366,0,0
1,23,-4.250000,-3.250000,5.501501,12,0.412028,0.681485,0.013027,0,0
1,24,-4.250000,-2.750000,4.968801,5,0.036538,0.386283,0.012469,0,0
1,25,-4.250000,-2.250000,4.865680,116,0.701610,0.985436,0.012367,0,0
1,26,-4.250000,-1.750000,4.631935,168,0.929531,0.954001,0.012145,0,0
1,27,-4.250000,-1.250000,4.534698,126,0.604410,0.970302,0.012056,0,0
1,28,-4.250000,-0.750000,4.424530,136,0.462564,0.990076,0.011958,0,0
1,29,-4.250000,-0.250000,4.365895,124,0.093572,0.993956,0.011906,0,0
1,30,-4.250000,0.250000,4.388484,126,0.050929,0.994606,0.011926,0,0
1,31,-4.250000,0.750000,4.452601,115,0.035674,0.994190,0.011983,0,0
1,32,-4.250000,1.250000,4.538711,142,0.673297,0.993485,0.012060,0,0
1,33,-4.250000,1.750000,4.665390,133,0.589142,0.989500,0.012177,0,0
1,34,-4.250000,2.250000,4.814139,36,0.547532,0.942451,0.012318,0,0
2,19,-3.750000,-5.250000,6.467000,7,0.410286,0.497136,0.014182,0,0
2,20,-3.750000,-4.750000,6.124125,8,0.390222,0.522004,0.013750,0,0
2,21,-3.750000,-4.250000,5.669067,45,0.461053,0.962792,0.013214,0,0
2,22,-3.750000,-3.750000,5.408700,40,0.566420,0.926854,0.012925,0,0
2,23,-3.750000,-3.250000,5.007333,15,0.151404,0.770589,0.012507,0,0
2,24,-3.750000,-2.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
2,25,-3.750000,-2.250000,4.455465,99,0.865747,0.978922,0.011985,0,0
2,26,-3.750000,-1.750000,4.275867,128,0.947447,0.954517,0.011828,0,0
2,27,-3.750000,-1.250000,4.063716,218,1.000000,0.969030,0.011651,0,0
2,28,-3.750000,-0.750000,4.003695,163,0.150935,0.994195,0.011603,0,0
2,29,-3.750000,-0.250000,3.951887,132,0.114674,0.993964,0.011562,0,0
2,30,-3.750000,0.250000,3.883571,149,0.071142,0.993882,0.011508,0,0
2,31,-3.750000,0.750000,3.992281,174,0.095687,0.993980,0.011594,0,0
2,32,-3.750000,1.250000,4.080315,181,0.273822,0.994344,0.011665,0,0
2,33,-3.750000,1.750000,4.209617,146,1.000000,0.989020,0.011772,0,0
2,34,-3.750000,2.250000,4.523858,7,0.116221,0.460732,0.012047,0,0
2,42,-3.750000,6.250000,7.253000,3,0.237781,0.254535,0.015261,0,0
2,43,-3.750000,6.750000,7.782501,12,0.136502,0.693764,0.016057,0,0
2,44,-3.750000,7.250000,8.100223,9,0.034403,0.572141,0.016561,0,0
3,9,-3.250000,-10.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
3,11,-3.250000,-9.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
3,12,-3.250000,-8.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
3,17,-3.250000,-6.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
3,18,-3.250000,-5.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
3,19,-3.250000,-5.250000,6.143000,3,1.000000,0.255095,0.013774,0,0
3,20,-3.250000,-4.750000,5.854319,22,0.639680,0.754180,0.013427,0,0
3,21,-3.250000,-4.250000,5.416429,7,0.155378,0.497154,0.012934,0,0
3,22,-3.250000,-3.750000,5.010468,64,0.711259,0.966851,0.012510,0,0
3,23,-3.250000,-3.250000,4.658182,33,0.710026,0.934478,0.012170,0,0
3,24,-3.250000,-2.750000,4.266474,19,0.100991,0.840450,0.011820,0,0
3,25,-3.250000,-2.250000,4.044818,236,0.871943,0.952863,0.011636,0,0
3,26,-3.250000,-1.750000,3.837087,218,0.876823,0.970460,0.011472,0,0
3,27,-3.250000,-1.250000,3.783705,122,1.000000,0.929328,0.011432,0,0
3,32,-3.250000,1.250000,3.732281,110,0.287689,0.994622,0.011393,0,0
3,33,-3.250000,1.750000,3.755972,223,1.000000,0.966951,0.011411,0,0
3,40,-3.250000,5.250000,6.283000,3,0.059804,0.232160,0.013948,0,0
3,41,-3.250000,5.750000,6.630572,7,0.155424,0.494608,0.014396,0,0
3,42,-3.250000,6.250000,7.142929,14,0.038056,0.747457,0.015102,0,0
3,43,-3.250000,6.750000,7.468251,12,0.121299,0.689968,0.015577,0,0
3,44,-3.250000,7.250000,8.099501,10,0.624174,0.620204,0.016560,0,0
3,45,-3.250000,7.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
3,46,-3.250000,8.250000,8.933334,3,0.026175,0.231921,0.017980,0,0
4,10,-2.750000,-9.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
4,14,-2.750000,-7.750000,8.234000,3,0.070805,0.257958,0.016780,0,0
4,15,-2.750000,-7.250000,7.832601,5,0.784105,0.386447,0.016135,0,0
4,17,-2.750000,-6.250000,6.978001,3,1.000000,0.255085,0.014869,0,0
4,18,-2.750000,-5.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
4,20,-2.750000,-4.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
4,22,-2.750000,-3.750000,4.731235,64,0.603449,0.936486,0.012238,0,0
4,23,-2.750000,-3.250000,4.360168,102,1.000000,0.924895,0.011901,0,0
4,24,-2.750000,-2.750000,3.884904,114,0.812422,0.978143,0.011509,0,0
4,25,-2.750000,-2.250000,3.701993,299,0.979463,0.977761,0.011370,0,0
4,26,-2.750000,-1.750000,3.669000,3,0.319241,0.245577,0.011346,0,0
4,32,-2.750000,1.250000,3.467750,4,0.304296,0.206456,0.011203,0,0
4,33,-2.750000,1.750000,3.406624,149,0.845032,0.973791,0.011161,0,0
4,38,-2.750000,4.250000,5.098167,6,1.000000,0.443809,0.012599,0,0
4,39,-2.750000,4.750000,5.605364,11,0.158483,0.649104,0.013142,0,0
4,40,-2.750000,5.250000,5.894091,11,0.029320,0.662500,0.013474,0,0
4,41,-2.750000,5.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
4,42,-2.750000,6.250000,6.924857,7,0.059745,0.495014,0.014795,0,0
4,43,-2.750000,6.750000,7.233000,4,0.292257,0.322053,0.015232,0,0
4,44,-2.750000,7.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
4,47,-2.750000,8.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
5,9,-2.250000,-10.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
5,10,-2.250000,-9.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
5,13,-2.250000,-8.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
5,14,-2.250000,-7.750000,7.974882,17,1.000000,0.794927,0.016360,0,0
5,15,-2.250000,-7.250000,7.734063,16,1.000000,0.784423,0.015982,0,0
5,16,-2.250000,-6.750000,7.274600,5,1.000000,0.367997,0.015292,0,0
5,19,-2.250000,-5.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
5,20,-2.250000,-4.750000,5.135500,4,1.000000,0.306698,0.012637,0,0
5,21,-2.250000,-4.250000,5.016200,5,0.819288,0.375133,0.012516,0,0
5,22,-2.250000,-3.750000,4.362000,8,0.079473,0.544635,0.011903,0,0
5,23,-2.250000,-3.250000,3.961163,49,0.766228,0.957223,0.011569,0,0
5,24,-2.250000,-2.750000,3.774386,197,0.802831,0.958596,0.011425,0,0
5,25,-2.250000,-2.250000,3.631400,15,1.000000,0.653421,0.011319,0,0
5,33,-2.250000,1.750000,3.071346,55,0.111111,0.985569,0.010943,0,0
5,34,-2.250000,2.250000,3.176250,4,0.259830,0.178099,0.011009,0,0
5,37,-2.250000,3.750000,4.471537,41,0.583918,0.921825,0.011999,0,0
5,38,-2.250000,4.250000,4.777777,27,0.383123,0.909019,0.012283,0,0
5,39,-2.250000,4.750000,5.257318,22,0.254304,0.804954,0.012764,0,0
5,40,-2.250000,5.250000,5.695600,5,0.086281,0.389365,0.013244,0,0
5,41,-2.250000,5.750000,6.227751,4,0.072364,0.328607,0.013878,0,0
5,42,-2.250000,6.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
5,43,-2.250000,6.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
5,44,-2.250000,7.250000,7.635201,5,0.433802,0.390748,0.015830,0,0
5,45,-2.250000,7.750000,8.071834,6,0.085004,0.448937,0.016515,0,0
5,46,-2.250000,8.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
6,12,-1.750000,-8.750000,8.850250,4,1.000000,0.321203,0.017833,0,0
6,14,-1.750000,-7.750000,7.954200,5,0.822508,0.382823,0.016327,0,0
6,15,-1.750000,-7.250000,7.514833,6,0.110481,0.415610,0.015647,0,0
6,16,-1.750000,-6.750000,7.054734,15,0.457100,0.742655,0.014977,0,0
6,17,-1.750000,-6.250000,6.704000,8,1.000000,0.540512,0.014494,0,0
6,18,-1.750000,-5.750000,6.044572,7,0.991596,0.500070,0.013654,0,0
6,19,-1.750000,-5.250000,5.533313,48,0.972255,0.938779,0.013062,0,0
6,20,-1.750000,-4.750000,5.217140,43,1.000000,0.878338,0.012722,0,0
