ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,0,-4.750000,-14.750000,15.798085,12,0.070752,0.683264,0.034958,0,0
0,1,-4.750000,-14.250000,15.240002,8,0.033429,0.518491,0.033226,0,0
0,4,-4.750000,-12.750000,13.636557,9,0.034947,0.571168,0.028596,0,0
0,7,-4.750000,-11.250000,12.444000,3,1.000000,0.256640,0.025485,0,0
0,15,-4.750000,-7.250000,8.762668,3,0.027270,0.258411,0.017678,0,0
0,16,-4.750000,-6.750000,8.328800,5,0.053599,0.392361,0.016937,0,0
0,17,-4.750000,-6.250000,7.959400,10,0.034968,0.620337,0.016335,0,0
0,18,-4.750000,-5.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,24,-4.750000,-2.750000,5.753912,34,0.163922,0.964792,0.013311,0,0
0,25,-4.750000,-2.250000,5.575561,143,0.807843,0.991367,0.013109,0,0
0,26,-4.750000,-1.750000,5.261225,146,1.000000,0.973271,0.012768,0,0
0,27,-4.750000,-1.250000,5.208184,190,0.873238,0.991397,0.012713,0,0
0,28,-4.750000,-0.750000,5.075371,167,0.355619,0.997250,0.012576,0,0
0,29,-4.750000,-0.250000,4.971709,158,0.409022,0.994572,0.012472,0,0
0,30,-4.750000,0.250000,5.081873,166,0.338937,0.997905,0.012583,0,0
0,31,-4.750000,0.750000,5.159078,154,0.056601,0.998283,0.012662,0,0
0,32,-4.750000,1.250000,5.240166,207,0.826933,0.997818,0.012746,0,0
0,33,-4.750000,1.750000,5.377860,170,0.387928,0.997927,0.012892,0,0
0,34,-4.750000,2.250000,5.469706,116,0.269822,0.995045,0.012992,0,0
0,35,-4.750000,2.750000,5.713189,159,0.795437,0.985753,0.013264,0,0
0,36,-4.750000,3.250000,5.740429,28,0.095181,0.929944,0.013295,0,0
0,37,-4.750000,3.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,0,-4.250000,-14.750000,15.870572,7,0.031007,0.482690,0.035188,0,0
1,3,-4.250000,-13.250000,13.998800,5,0.033067,0.359324,0.029597,0,0
1,4,-4.250000,-12.750000,13.557701,10,0.034272,0.601948,0.028381,0,0
1,6,-4.250000,-11.750000,12.428601,10,0.035978,0.612244,0.025447,0,0
1,9,-4.250000,-10.250000,11.268333,3,0.053086,0.250816,0.022698,0,0
1,16,-4.250000,-6.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,17,-4.250000,-6.250000,7.557321,25,0.413453,0.858820,0.015711,0,0
1,18,-4.250000,-5.750000,7.274077,26,0.852573,0.880423,0.015291,0,0
1,19,-4.250000,-5.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,24,-4.250000,-2.750000,5.052537,67,0.514003,0.982218,0.012553,0,0
1,25,-4.250000,-2.250000,4.899807,114,0.646771,0.963186,0.012401,0,0
1,26,-4.250000,-1.750000,4.656162,142,0.986377,0.972890,0.012168,0,0
1,27,-4.250000,-1.250000,4.583904,124,0.095504,0.993142,0.012101,0,0
1,28,-4.250000,-0.750000,4.449791,134,0.131471,0.993952,0.011980,0,0
1,29,-4.250000,-0.250000,4.392954,148,0.121991,0.994147,0.011930,0,0
1,30,-4.250000,0.250000,4.381728,143,0.190562,0.993976,0.011920,0,0
1,31,-4.250000,0.750000,4.466093,140,0.155341,0.993748,0.011995,0,0
1,32,-4.250000,1.250000,4.554726,153,0.457478,0.993358,0.012075,0,0
1,33,-4.250000,1.750000,4.667026,118,0.254727,0.988190,0.012178,0,0
1,34,-4.250000,2.250000,4.901963,106,0.581591,0.988456,0.012403,0,0
1,35,-4.250000,2.750000,5.169999,75,0.664695,0.982325,0.012673,0,0
1,36,-4.250000,3.250000,5.370409,22,0.462646,0.851153,0.012884,0,0
2,0,-3.750000,-14.750000,15.465501,4,0.044887,0.321754,0.033918,0,0
2,2,-3.750000,-13.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,3,-3.750000,-13.250000,13.875667,3,0.063337,0.254271,0.029253,0,0
2,4,-3.750000,-12.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
2,6,-3.750000,-11.750000,12.340999,7,0.039759,0.490100,0.025230,0,0
2,7,-3.750000,-11.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,8,-3.750000,-10.750000,11.257333,3,0.049718,0.252902,0.022673,0,0
2,10,-3.750000,-9.750000,10.377501,4,0.054997,0.312808,0.020769,0,0
2,11,-3.750000,-9.250000,10.151401,5,0.063173,0.386442,0.020305,0,0
2,12,-3.750000,-8.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,13,-3.750000,-8.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,16,-3.750000,-6.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,17,-3.750000,-6.250000,7.214867,15,0.106662,0.763562,0.015205,0,0
2,18,-3.750000,-5.750000,6.937800,20,0.505924,0.826762,0.014813,0,0
2,19,-3.750000,-5.250000,6.492668,15,0.332726,0.758326,0.014215,0,0
2,20,-3.750000,-4.750000,6.067139,36,0.368956,0.949280,0.013681,0,0
2,21,-3.750000,-4.250000,5.785858,7,0.293159,0.486037,0.013348,0,0
2,22,-3.750000,-3.750000,5.216100,10,0.172614,0.620883,0.012721,0,0
2,23,-3.750000,-3.250000,4.916833,6,0.151707,0.442529,0.012418,0,0
2,24,-3.750000,-2.750000,4.632586,82,0.648987,0.971497,0.012146,0,0
2,25,-3.750000,-2.250000,4.501941,155,0.840564,0.973017,0.012027,0,0
2,26,-3.750000,-1.750000,4.324642,212,1.000000,0.972835,0.011870,0,0
2,27,-3.750000,-1.250000,4.162662,133,0.081391,0.991736,0.011733,0,0
2,28,-3.750000,-0.750000,4.035055,128,0.059456,0.994732,0.011628,0,0
2,29,-3.750000,-0.250000,3.995311,125,0.151794,0.993801,0.011596,0,0
2,30,-3.750000,0.250000,3.986572,98,0.104971,0.993547,0.011589,0,0
2,31,-3.750000,0.750000,4.054445,106,0.048449,0.993588,0.011644,0,0
2,32,-3.750000,1.250000,4.128233,163,0.330205,0.994163,0.011704,0,0
2,33,-3.750000,1.750000,4.257785,176,0.415322,0.992300,0.011813,0,0
2,34,-3.750000,2.250000,4.460014,138,0.662132,0.982673,0.011989,0,0
2,35,-3.750000,2.750000,4.721470,34,0.541454,0.952395,0.012229,0,0
2,36,-3.750000,3.250000,5.034667,3,1.000000,0.258623,0.012535,0,0
2,37,-3.750000,3.750000,5.434143,7,0.335388,0.493419,0.012953,0,0
3,3,-3.250000,-13.250000,13.645364,11,0.040280,0.641094,0.028620,0,0
3,5,-3.250000,-12.250000,12.609601,10,0.042840,0.611764,0.025900,0,0
3,6,-3.250000,-11.750000,12.381800,5,0.045116,0.378599,0.025331,0,0
3,8,-3.250000,-10.750000,11.216167,6,0.038029,0.426919,0.022580,0,0
3,9,-3.250000,-10.250000,10.942250,4,0.038081,0.295934,0.021973,0,0
3,10,-3.250000,-9.750000,10.529125,8,0.057411,0.531523,0.021086,0,0
3,12,-3.250000,-8.750000,9.489801,5,0.050848,0.373947,0.019006,0,0
3,13,-3.250000,-8.250000,9.081112,9,0.062249,0.582858,0.018247,0,0
3,14,-3.250000,-7.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
