ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,2,-4.750000,-13.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,3,-4.750000,-13.250000,14.166812,16,0.034274,0.790190,0.030070,0,0
0,4,-4.750000,-12.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,5,-4.750000,-12.250000,13.087201,5,0.046260,0.386304,0.027127,0,0
0,6,-4.750000,-11.750000,13.016400,5,0.042553,0.388803,0.026943,0,0
0,8,-4.750000,-10.750000,11.912601,5,0.075060,0.391706,0.024191,0,0
0,9,-4.750000,-10.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,11,-4.750000,-9.250000,10.663334,3,0.202619,0.257468,0.021371,0,0
0,13,-4.750000,-8.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,14,-4.750000,-7.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,17,-4.750000,-6.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,18,-4.750000,-5.750000,7.453800,5,0.815901,0.386455,0.015556,0,0
0,19,-4.750000,-5.250000,7.141334,3,0.062446,0.258256,0.015100,0,0
0,20,-4.750000,-4.750000,6.865601,5,0.206901,0.390491,0.014714,0,0
0,21,-4.750000,-4.250000,6.571778,9,0.629478,0.584748,0.014319,0,0
0,22,-4.750000,-3.750000,6.077834,6,0.364825,0.444939,0.013694,0,0
0,23,-4.750000,-3.250000,5.903667,6,0.236876,0.439516,0.013485,0,0
0,24,-4.750000,-2.750000,5.604001,30,0.258905,0.944988,0.013140,0,0
0,25,-4.750000,-2.250000,5.597445,189,1.000000,0.985038,0.013133,0,0
0,26,-4.750000,-1.750000,5.410316,155,1.000000,0.980172,0.012927,0,0
0,27,-4.750000,-1.250000,5.247794,179,1.000000,0.989000,0.012754,0,0
0,28,-4.750000,-0.750000,5.168727,121,1.000000,0.992877,0.012672,0,0
0,29,-4.750000,-0.250000,5.389364,11,0.013826,0.665043,0.012905,0,0
0,30,-4.750000,0.250000,5.117487,129,0.697332,0.995139,0.012619,0,0
0,31,-4.750000,0.750000,5.158956,45,0.020659,0.987102,0.012661,0,0
0,32,-4.750000,1.250000,5.354213,47,0.173579,0.989096,0.012867,0,0
0,33,-4.750000,1.750000,5.367925,132,1.000000,0.991001,0.012881,0,0
0,34,-4.750000,2.250000,5.555819,155,0.885322,0.993538,0.013087,0,0
