ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,15,-4.750000,-7.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,17,-4.750000,-6.250000,7.874001,3,0.035164,0.257914,0.016200,0,0
0,18,-4.750000,-5.750000,7.354000,4,0.025068,0.328445,0.015408,0,0
0,19,-4.750000,-5.250000,7.105000,7,0.050370,0.499177,0.015048,0,0
0,22,-4.750000,-3.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,23,-4.750000,-3.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,24,-4.750000,-2.750000,5.588600,35,0.173685,0.961475,0.013123,0,0
0,25,-4.750000,-2.250000,5.418916,167,0.977684,0.984673,0.012936,0,0
0,26,-4.750000,-1.750000,5.429873,141,0.433329,0.994378,0.012948,0,0
0,27,-4.750000,-1.250000,5.202436,158,0.582849,0.996961,0.012707,0,0
0,28,-4.750000,-0.750000,5.092306,167,0.310789,0.997569,0.012593,0,0
0,29,-4.750000,-0.250000,5.023187,145,0.972007,0.987441,0.012523,0,0
0,30,-4.750000,0.250000,5.044401,142,1.000000,0.991017,0.012545,0,0
0,31,-4.750000,0.750000,5.141128,181,0.409273,0.997911,0.012643,0,0
0,32,-4.750000,1.250000,5.161887,157,0.783934,0.989092,0.012665,0,0
0,33,-4.750000,1.750000,5.302410,119,1.000000,0.984656,0.012812,0,0
0,34,-4.750000,2.250000,5.481381,121,0.592066,0.989963,0.013005,0,0
0,35,-4.750000,2.750000,5.699572,7,0.166566,0.501122,0.013249,0,0
0,36,-4.750000,3.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,43,-4.750000,6.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,45,-4.750000,7.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,18,-4.250000,-5.750000,7.112000,6,1.000000,0.436940,0.015058,0,0
1,19,-4.250000,-5.250000,6.686566,23,0.228133,0.882527,0.014471,0,0
1,20,-4.250000,-4.750000,6.419870,23,0.525845,0.873697,0.014121,0,0
1,21,-4.250000,-4.250000,6.086401,5,0.996514,0.387173,0.013704,0,0
1,22,-4.250000,-3.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,23,-4.250000,-3.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,24,-4.250000,-2.750000,5.051400,15,1.000000,0.760692,0.012552,0,0
1,25,-4.250000,-2.250000,4.905037,83,0.824844,0.964245,0.012406,0,0
1,26,-4.250000,-1.750000,4.675395,112,0.562000,0.972939,0.012186,0,0
1,27,-4.250000,-1.250000,4.568868,144,0.537226,0.994138,0.012087,0,0
1,28,-4.250000,-0.750000,4.433842,126,0.072791,0.993531,0.011966,0,0
1,29,-4.250000,-0.250000,4.343707,157,1.000000,0.950382,0.011887,0,0
1,30,-4.250000,0.250000,4.376165,144,0.782119,0.980373,0.011915,0,0
1,31,-4.250000,0.750000,4.450907,138,0.454304,0.989833,0.011981,0,0
