ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,24,-4.750000,-2.750000,5.775167,36,0.048590,0.970978,0.013335,0,0
0,25,-4.750000,-2.250000,5.532704,187,1.000000,0.992604,0.013061,0,0
0,26,-4.750000,-1.750000,5.387981,165,0.332637,0.996225,0.012903,0,0
0,27,-4.750000,-1.250000,5.255043,159,0.335622,0.997570,0.012762,0,0
0,28,-4.750000,-0.750000,5.183817,148,0.058155,0.997692,0.012687,0,0
0,29,-4.750000,-0.250000,5.112947,170,0.244089,0.996813,0.012614,0,0
0,30,-4.750000,0.250000,5.161640,86,0.246879,0.997897,0.012664,0,0
0,31,-4.750000,0.750000,5.431768,30,0.315311,0.946436,0.012950,0,0
0,32,-4.750000,1.250000,5.280823,200,0.555003,0.995009,0.012789,0,0
0,33,-4.750000,1.750000,5.337296,162,0.543055,0.995187,0.012849,0,0
0,34,-4.750000,2.250000,5.586227,142,1.000000,0.992442,0.013121,0,0
0,35,-4.750000,2.750000,5.732048,122,1.000000,0.975665,0.013286,0,0
0,36,-4.750000,3.250000,5.997422,83,0.472379,0.987870,0.013597,0,0
0,37,-4.750000,3.750000,6.003174,23,0.670090,0.865860,0.013604,0,0
0,38,-4.750000,4.250000,6.481368,38,0.514348,0.912440,0.014201,0,0
0,39,-4.750000,4.750000,6.665643,28,0.326607,0.924671,0.014443,0,0
0,40,-4.750000,5.250000,7.055500,16,0.721859,0.766680,0.014978,0,0
0,41,-4.750000,5.750000,7.520778,9,0.650723,0.588344,0.015656,0,0
0,42,-4.750000,6.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,43,-4.750000,6.750000,8.558900,10,0.718995,0.582276,0.017325,0,0
0,44,-4.750000,7.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,54,-4.750000,12.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,24,-4.250000,-2.750000,4.972572,7,0.088267,0.479405,0.012473,0,0
1,25,-4.250000,-2.250000,4.879091,133,1.000000,0.981150,0.012381,0,0
1,26,-4.250000,-1.750000,4.732616,117,0.202611,0.987676,0.012240,0,0
1,27,-4.250000,-1.250000,4.568389,126,0.365253,0.989033,0.012087,0,0
1,28,-4.250000,-0.750000,4.484889,9,0.005086,0.583543,0.012011,0,0
1,29,-4.250000,-0.250000,4.428500,32,0.043384,0.950436,0.011961,0,0
1,30,-4.250000,0.250000,4.362197,61,0.221658,0.985531,0.011903,0,0
1,32,-4.250000,1.250000,4.556536,86,0.100341,0.993121,0.012076,0,0
1,33,-4.250000,1.750000,4.730727,88,0.288994,0.977953,0.012238,0,0
1,34,-4.250000,2.250000,4.885478,90,1.000000,0.924072,0.012387,0,0
1,35,-4.250000,2.750000,5.119569,88,1.000000,0.936178,0.012621,0,0
1,36,-4.250000,3.250000,5.468566,53,0.740257,0.917184,0.012991,0,0
1,37,-4.250000,3.750000,5.700574,54,1.000000,0.893524,0.013250,0,0
1,38,-4.250000,4.250000,6.093291,89,1.000000,0.915013,0.013713,0,0
1,39,-4.250000,4.750000,6.498390,59,1.000000,0.880681,0.014223,0,0
1,40,-4.250000,5.250000,6.812876,24,1.000000,0.785851,0.014642,0,0
2,19,-3.750000,-5.250000,6.484167,6,0.073548,0.436371,0.014204,0,0
2,24,-3.750000,-2.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,25,-3.750000,-2.250000,4.441443,155,1.000000,0.977548,0.011973,0,0
2,26,-3.750000,-1.750000,4.284594,160,0.157185,0.991917,0.011836,0,0
2,27,-3.750000,-1.250000,4.141075,108,0.198161,0.988120,0.011715,0,0
2,28,-3.750000,-0.750000,4.082251,4,0.339221,0.326479,0.011666,0,0
2,29,-3.750000,-0.250000,4.014250,8,1.000000,0.544170,0.011611,0,0
2,30,-3.750000,0.250000,4.043369,38,0.272203,0.926317,0.011635,0,0
2,32,-3.750000,1.250000,4.228113,62,0.190513,0.971025,0.011788,0,0
2,33,-3.750000,1.750000,4.296481,154,0.297115,0.990763,0.011846,0,0
2,34,-3.750000,2.250000,4.509267,175,1.000000,0.968250,0.012033,0,0
2,35,-3.750000,2.750000,4.765146,164,1.000000,0.941640,0.012271,0,0
2,36,-3.750000,3.250000,5.032196,92,1.000000,0.915073,0.012532,0,0
2,37,-3.750000,3.750000,5.408342,38,0.852395,0.925689,0.012925,0,0
2,38,-3.750000,4.250000,5.792815,27,1.000000,0.875659,0.013356,0,0
2,39,-3.750000,4.750000,6.189074,27,0.698252,0.880621,0.013830,0,0
2,40,-3.750000,5.250000,6.460444,18,0.124351,0.818605,0.014174,0,0
2,50,-3.750000,10.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
3,20,-3.250000,-4.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
3,21,-3.250000,-4.250000,5.479250,4,1.000000,0.290876,0.013002,0,0
3,24,-3.250000,-2.750000,4.090308,13,0.113858,0.698243,0.011673,0,0
3,25,-3.250000,-2.250000,4.060693,288,1.000000,0.978462,0.011649,0,0
3,26,-3.250000,-1.750000,4.033386,57,0.225358,0.984166,0.011627,0,0
3,27,-3.250000,-1.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
3,32,-3.250000,1.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
3,33,-3.250000,1.750000,3.932387,106,0.216388,0.982739,0.011546,0,0
3,34,-3.250000,2.250000,4.047599,117,0.452207,0.990616,0.011638,0,0
3,35,-3.250000,2.750000,4.370773,136,0.897425,0.961813,0.011910,0,0
3,36,-3.250000,3.250000,4.682093,98,1.000000,0.930964,0.012192,0,0
3,37,-3.250000,3.750000,5.016957,70,0.737310,0.958422,0.012517,0,0
3,38,-3.250000,4.250000,5.423255,51,0.360048,0.947657,0.012941,0,0
3,39,-3.250000,4.750000,5.787532,32,0.244213,0.942322,0.013350,0,0
