ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,0,-4.750000,-14.750000,15.496937,16,0.052881,0.787869,0.034016,0,0
0,1,-4.750000,-14.250000,15.370715,7,0.034131,0.481644,0.033626,0,0
0,3,-4.750000,-13.250000,13.942000,4,0.031069,0.261104,0.029438,0,0
0,4,-4.750000,-12.750000,13.732277,18,0.041330,0.820748,0.028858,0,0
0,5,-4.750000,-12.250000,13.471334,6,0.034433,0.397143,0.028148,0,0
0,6,-4.750000,-11.750000,12.591333,9,0.041039,0.557335,0.025854,0,0
0,7,-4.750000,-11.250000,12.355556,9,0.059173,0.580085,0.025266,0,0
0,8,-4.750000,-10.750000,12.152445,9,0.063634,0.577654,0.024768,0,0
0,9,-4.750000,-10.250000,11.214183,11,0.061021,0.654739,0.022576,0,0
0,10,-4.750000,-9.750000,11.221001,10,0.061474,0.622445,0.022591,0,0
0,11,-4.750000,-9.250000,10.362573,7,0.056630,0.486209,0.020738,0,0
0,12,-4.750000,-8.750000,10.209455,11,0.067830,0.662577,0.020423,0,0
0,13,-4.750000,-8.250000,9.703500,12,0.073814,0.695421,0.019416,0,0
0,14,-4.750000,-7.750000,9.158000,4,0.044792,0.328915,0.018387,0,0
0,15,-4.750000,-7.250000,8.878200,5,0.080157,0.390250,0.017882,0,0
0,16,-4.750000,-6.750000,8.654000,10,0.071155,0.626624,0.017489,0,0
0,17,-4.750000,-6.250000,8.270667,3,0.210004,0.257891,0.016840,0,0
0,19,-4.750000,-5.250000,7.427626,16,0.248731,0.785972,0.015517,0,0
0,20,-4.750000,-4.750000,6.961251,12,0.565496,0.691822,0.014846,0,0
0,21,-4.750000,-4.250000,6.771616,13,0.519684,0.713708,0.014585,0,0
0,22,-4.750000,-3.750000,5.945308,13,0.434020,0.674956,0.013535,0,0
0,23,-4.750000,-3.250000,5.851876,8,0.299805,0.549647,0.013424,0,0
0,24,-4.750000,-2.750000,5.669804,51,0.338272,0.986444,0.013215,0,0
0,25,-4.750000,-2.250000,5.461457,79,0.468144,0.987916,0.012983,0,0
0,26,-4.750000,-1.750000,5.393503,219,1.000000,0.995860,0.012909,0,0
0,27,-4.750000,-1.250000,5.264053,152,0.476294,0.990419,0.012771,0,0
0,28,-4.750000,-0.750000,5.253861,65,0.154002,0.995795,0.012760,0,0
0,29,-4.750000,-0.250000,5.130785,70,0.021106,0.997032,0.012632,0,0
0,30,-4.750000,0.250000,5.128289,135,0.313613,0.996373,0.012630,0,0
0,31,-4.750000,0.750000,5.268001,21,0.310902,0.875866,0.012775,0,0
0,32,-4.750000,1.250000,5.350983,61,0.028810,0.995747,0.012863,0,0
0,33,-4.750000,1.750000,5.418306,138,0.428678,0.996395,0.012936,0,0
0,34,-4.750000,2.250000,5.602069,174,1.000000,0.971701,0.013138,0,0
0,35,-4.750000,2.750000,5.703652,92,0.928855,0.979183,0.013253,0,0
0,36,-4.750000,3.250000,5.863946,55,0.174797,0.988712,0.013439,0,0
0,37,-4.750000,3.750000,6.247643,14,0.359785,0.750976,0.013903,0,0
0,38,-4.750000,4.250000,6.592333,3,0.848683,0.258769,0.014346,0,0
0,40,-4.750000,5.250000,7.103000,5,1.000000,0.389574,0.015045,0,0
0,41,-4.750000,5.750000,7.789572,7,0.925505,0.486846,0.016068,0,0
0,42,-4.750000,6.250000,8.117223,9,0.415693,0.590955,0.016589,0,0
0,43,-4.750000,6.750000,8.429001,3,0.383932,0.258646,0.017105,0,0
0,44,-4.750000,7.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,45,-4.750000,7.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,0,-4.250000,-14.750000,15.745154,13,0.062701,0.711865,0.034791,0,0
1,3,-4.250000,-13.250000,14.014182,11,0.039503,0.649537,0.029640,0,0
1,6,-4.250000,-11.750000,12.657083,12,0.040040,0.682324,0.026020,0,0
1,9,-4.250000,-10.250000,11.067778,9,0.052383,0.585046,0.022250,0,0
1,10,-4.250000,-9.750000,10.577801,5,0.053373,0.383323,0.021189,0,0
1,11,-4.250000,-9.250000,10.421201,5,0.051990,0.369534,0.020860,0,0
1,12,-4.250000,-8.750000,9.724200,5,0.071277,0.380439,0.019456,0,0
1,13,-4.250000,-8.250000,9.391251,4,0.115678,0.326054,0.018820,0,0
1,15,-4.250000,-7.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,16,-4.250000,-6.750000,8.266000,3,0.075723,0.253127,0.016833,0,0
1,17,-4.250000,-6.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,18,-4.250000,-5.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,19,-4.250000,-5.250000,6.892800,5,1.000000,0.387264,0.014751,0,0
1,20,-4.250000,-4.750000,6.505429,7,0.870050,0.475602,0.014232,0,0
1,21,-4.250000,-4.250000,6.192778,9,0.066464,0.590362,0.013835,0,0
1,22,-4.250000,-3.750000,5.767111,9,0.387201,0.544334,0.013326,0,0
1,23,-4.250000,-3.250000,5.396688,48,0.597987,0.961722,0.012912,0,0
1,24,-4.250000,-2.750000,5.170600,135,1.000000,0.928162,0.012674,0,0
1,25,-4.250000,-2.250000,4.894600,90,1.000000,0.925302,0.012396,0,0
1,26,-4.250000,-1.750000,4.732397,121,1.000000,0.974318,0.012240,0,0
1,27,-4.250000,-1.250000,4.632416,130,0.239060,0.986408,0.012146,0,0
1,28,-4.250000,-0.750000,4.652296,27,0.173925,0.915758,0.012164,0,0
1,29,-4.250000,-0.250000,4.464739,23,0.203090,0.855847,0.011993,0,0
1,30,-4.250000,0.250000,4.494662,89,1.000000,0.949796,0.012020,0,0
1,32,-4.250000,1.250000,4.636000,48,0.026124,0.983956,0.012149,0,0
1,33,-4.250000,1.750000,4.759778,127,0.713417,0.975872,0.012266,0,0
1,34,-4.250000,2.250000,4.916564,154,1.000000,0.792268,0.012417,0,0
1,35,-4.250000,2.750000,5.175303,102,0.984394,0.842905,0.012678,0,0
1,36,-4.250000,3.250000,5.368286,63,0.705957,0.916975,0.012882,0,0
1,37,-4.250000,3.750000,5.801250,4,1.000000,0.327644,0.013365,0,0
1,38,-4.250000,4.250000,6.084765,17,0.277450,0.788585,0.013702,0,0
1,39,-4.250000,4.750000,6.349429,14,0.273947,0.745592,0.014032,0,0
1,40,-4.250000,5.250000,6.809667,3,0.081585,0.232646,0.014637,0,0
1,41,-4.250000,5.750000,7.159667,3,1.000000,0.257585,0.015126,0,0
1,42,-4.250000,6.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,43,-4.250000,6.750000,7.959000,4,0.425805,0.322719,0.016335,0,0
1,44,-4.250000,7.250000,8.456078,13,0.242703,0.721494,0.017151,0,0
1,45,-4.250000,7.750000,8.851601,5,0.521661,0.386736,0.017835,0,0
1,46,-4.250000,8.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,0,-3.750000,-14.750000,15.999001,3,0.023579,0.144442,0.035597,0,0
2,3,-3.750000,-13.250000,13.784251,8,0.087583,0.537575,0.029001,0,0
2,4,-3.750000,-12.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,5,-3.750000,-12.250000,12.690430,7,0.038193,0.464748,0.026105,0,0
2,6,-3.750000,-11.750000,12.653001,7,0.040568,0.465566,0.026010,0,0
2,8,-3.750000,-10.750000,11.389376,8,0.052586,0.510788,0.022972,0,0
2,9,-3.750000,-10.250000,11.092287,7,0.046284,0.459037,0.022304,0,0
2,10,-3.750000,-9.750000,10.584546,11,0.060988,0.654816,0.021203,0,0
2,12,-3.750000,-8.750000,9.649545,11,0.071066,0.659396,0.019311,0,0
2,13,-3.750000,-8.250000,9.160286,7,0.164717,0.496064,0.018391,0,0
2,14,-3.750000,-7.750000,8.546333,3,0.615973,0.246843,0.017304,0,0
2,15,-3.750000,-7.250000,8.259601,5,0.246873,0.390887,0.016822,0,0
2,16,-3.750000,-6.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
2,19,-3.750000,-5.250000,6.518000,3,0.210127,0.257654,0.014248,0,0
2,20,-3.750000,-4.750000,6.106000,9,0.244961,0.573656,0.013728,0,0
2,22,-3.750000,-3.750000,5.395667,3,1.000000,0.247818,0.012911,0,0
2,23,-3.750000,-3.250000,5.052572,35,0.952525,0.894043,0.012553,0,0
2,24,-3.750000,-2.750000,4.808702,77,1.000000,0.901143,0.012312,0,0
2,25,-3.750000,-2.250000,4.503621,58,1.000000,0.899271,0.012028,0,0
2,26,-3.750000,-1.750000,4.284019,172,1.000000,0.933327,0.011835,0,0
2,27,-3.750000,-1.250000,4.319461,13,0.500417,0.709915,0.011866,0,0
2,32,-3.750000,1.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
