ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,11,-4.750000,-9.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,12,-4.750000,-8.750000,10.020000,3,0.252435,0.257029,0.020040,0,0
0,13,-4.750000,-8.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,14,-4.750000,-7.750000,9.292890,9,0.377123,0.590509,0.018636,0,0
0,15,-4.750000,-7.250000,8.786668,12,0.178666,0.695235,0.017721,0,0
0,16,-4.750000,-6.750000,8.518584,12,0.535239,0.688040,0.017257,0,0
0,17,-4.750000,-6.250000,8.069512,39,1.000000,0.967762,0.016512,0,0
0,18,-4.750000,-5.750000,7.496250,20,0.785033,0.820437,0.015619,0,0
0,19,-4.750000,-5.250000,7.202582,55,1.000000,0.976651,0.015188,0,0
0,20,-4.750000,-4.750000,6.940183,44,0.678368,0.976575,0.014817,0,0
0,21,-4.750000,-4.250000,6.594541,37,1.000000,0.956605,0.014349,0,0
0,22,-4.750000,-3.750000,6.225630,54,1.000000,0.975369,0.013876,0,0
0,23,-4.750000,-3.250000,5.937001,102,1.000000,0.981415,0.013525,0,0
0,24,-4.750000,-2.750000,5.714509,126,1.000000,0.987065,0.013266,0,0
0,25,-4.750000,-2.250000,5.500812,122,1.000000,0.980248,0.013026,0,0
0,26,-4.750000,-1.750000,5.365504,125,1.000000,0.979916,0.012879,0,0
0,27,-4.750000,-1.250000,5.270285,176,1.000000,0.984578,0.012778,0,0
0,28,-4.750000,-0.750000,5.142939,182,0.487053,0.997097,0.012645,0,0
0,29,-4.750000,-0.250000,5.037364,186,0.238530,0.997999,0.012538,0,0
0,30,-4.750000,0.250000,5.009768,159,0.266965,0.997584,0.012510,0,0
0,31,-4.750000,0.750000,5.070353,167,0.374492,0.996813,0.012571,0,0
0,32,-4.750000,1.250000,5.341945,91,0.156541,0.996730,0.012854,0,0
0,33,-4.750000,1.750000,5.283762,130,0.245546,0.993432,0.012792,0,0
0,34,-4.750000,2.250000,5.515978,139,0.285639,0.997670,0.013043,0,0
0,35,-4.750000,2.750000,5.714652,109,1.000000,0.985588,0.013266,0,0
0,36,-4.750000,3.250000,6.071482,133,1.000000,0.976667,0.013686,0,0
0,37,-4.750000,3.750000,6.344486,72,0.675504,0.977659,0.014025,0,0
0,38,-4.750000,4.250000,6.557667,9,0.252626,0.589946,0.014300,0,0
0,39,-4.750000,4.750000,7.041056,18,0.150319,0.825485,0.014958,0,0
0,40,-4.750000,5.250000,7.129818,11,0.138444,0.661012,0.015083,0,0
0,44,-4.750000,7.250000,8.749001,3,0.023300,0.235090,0.017655,0,0
0,45,-4.750000,7.750000,9.141418,12,0.177734,0.693680,0.018357,0,0
0,46,-4.750000,8.250000,9.620801,5,0.022449,0.391219,0.019256,0,0
0,48,-4.750000,9.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,49,-4.750000,9.750000,10.646667,3,0.015264,0.230152,0.021335,0,0
0,56,-4.750000,13.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,13,-4.250000,-8.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,14,-4.250000,-7.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,15,-4.250000,-7.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,16,-4.250000,-6.750000,8.012668,3,1.000000,0.257380,0.016420,0,0
1,17,-4.250000,-6.250000,7.635188,16,0.706422,0.749946,0.015830,0,0
1,18,-4.250000,-5.750000,7.237055,18,0.861652,0.791971,0.015237,0,0
1,19,-4.250000,-5.250000,6.828485,33,0.354639,0.933436,0.014663,0,0
1,20,-4.250000,-4.750000,6.427640,36,0.478150,0.941928,0.014131,0,0
1,21,-4.250000,-4.250000,6.041539,39,0.720131,0.914544,0.013650,0,0
1,22,-4.250000,-3.750000,5.747858,28,1.000000,0.754088,0.013304,0,0
1,23,-4.250000,-3.250000,5.432220,50,0.829271,0.922665,0.012951,0,0
1,24,-4.250000,-2.750000,5.099892,84,1.000000,0.880479,0.012601,0,0
1,25,-4.250000,-2.250000,4.912081,73,1.000000,0.943889,0.012413,0,0
1,26,-4.250000,-1.750000,4.667185,65,0.748479,0.913288,0.012178,0,0
1,27,-4.250000,-1.250000,4.508558,131,1.000000,0.954950,0.012033,0,0
1,28,-4.250000,-0.750000,4.460080,140,0.166111,0.992705,0.011989,0,0
1,29,-4.250000,-0.250000,4.385795,107,0.114266,0.993622,0.011924,0,0
1,30,-4.250000,0.250000,4.365924,133,0.142424,0.992767,0.011906,0,0
1,31,-4.250000,0.750000,4.451394,127,0.164405,0.993484,0.011981,0,0
1,32,-4.250000,1.250000,4.549236,17,0.047016,0.812033,0.012070,0,0
1,33,-4.250000,1.750000,4.707770,74,0.240485,0.994331,0.012216,0,0
1,34,-4.250000,2.250000,4.853911,120,0.809685,0.974352,0.012356,0,0
