ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,11,-4.750000,-9.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,12,-4.750000,-8.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,13,-4.750000,-8.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,14,-4.750000,-7.750000,9.344555,9,0.430711,0.590227,0.018732,0,0
0,15,-4.750000,-7.250000,8.882364,11,0.137745,0.663457,0.017890,0,0
0,16,-4.750000,-6.750000,8.479601,15,0.404161,0.765422,0.017190,0,0
0,17,-4.750000,-6.250000,8.109688,32,0.774022,0.947556,0.016577,0,0
0,18,-4.750000,-5.750000,7.539222,27,0.769592,0.897580,0.015684,0,0
0,19,-4.750000,-5.250000,7.172211,52,0.915188,0.972127,0.015144,0,0
0,20,-4.750000,-4.750000,6.960999,48,0.852249,0.977847,0.014846,0,0
0,21,-4.750000,-4.250000,6.563557,36,0.640543,0.960365,0.014308,0,0
0,22,-4.750000,-3.750000,6.212526,57,1.000000,0.980003,0.013860,0,0
0,23,-4.750000,-3.250000,5.956606,99,1.000000,0.987723,0.013548,0,0
0,24,-4.750000,-2.750000,5.696796,124,1.000000,0.986008,0.013245,0,0
0,25,-4.750000,-2.250000,5.500313,115,1.000000,0.982951,0.013025,0,0
0,26,-4.750000,-1.750000,5.351008,123,1.000000,0.980135,0.012863,0,0
0,27,-4.750000,-1.250000,5.242296,176,1.000000,0.988992,0.012748,0,0
0,28,-4.750000,-0.750000,5.118239,183,0.556660,0.997454,0.012620,0,0
0,29,-4.750000,-0.250000,5.041215,192,0.225387,0.998121,0.012541,0,0
0,30,-4.750000,0.250000,5.004786,159,0.288614,0.997549,0.012505,0,0
0,31,-4.750000,0.750000,5.076012,164,0.421567,0.996771,0.012577,0,0
0,32,-4.750000,1.250000,5.226346,162,0.299893,0.998030,0.012731,0,0
0,33,-4.750000,1.750000,5.272974,154,0.353957,0.993980,0.012780,0,0
0,34,-4.750000,2.250000,5.522899,135,0.272110,0.997862,0.013050,0,0
0,35,-4.750000,2.750000,5.712486,111,1.000000,0.984322,0.013263,0,0
0,36,-4.750000,3.250000,6.071809,125,1.000000,0.978586,0.013687,0,0
0,37,-4.750000,3.750000,6.308281,64,0.577522,0.982487,0.013979,0,0
0,38,-4.750000,4.250000,6.505751,4,0.057366,0.326565,0.014232,0,0
0,39,-4.750000,4.750000,7.035728,11,0.109278,0.658589,0.014950,0,0
0,40,-4.750000,5.250000,7.263500,6,0.200984,0.448524,0.015276,0,0
0,44,-4.750000,7.250000,8.706668,3,0.806723,0.249857,0.017581,0,0
0,45,-4.750000,7.750000,9.041334,6,0.026215,0.443568,0.018175,0,0
0,46,-4.750000,8.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,13,-4.250000,-8.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,14,-4.250000,-7.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,15,-4.250000,-7.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,16,-4.250000,-6.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,17,-4.250000,-6.250000,7.601000,15,0.584638,0.721365,0.015778,0,0
1,18,-4.250000,-5.750000,7.150589,17,0.919849,0.776354,0.015113,0,0
1,19,-4.250000,-5.250000,6.833063,32,0.336380,0.917580,0.014669,0,0
1,20,-4.250000,-4.750000,6.442295,34,0.748136,0.926561,0.014150,0,0
1,21,-4.250000,-4.250000,6.069909,33,0.799043,0.824123,0.013684,0,0
1,22,-4.250000,-3.750000,5.757667,27,1.000000,0.826577,0.013315,0,0
1,23,-4.250000,-3.250000,5.422940,50,0.812366,0.920828,0.012941,0,0
1,24,-4.250000,-2.750000,5.109101,80,1.000000,0.894613,0.012610,0,0
1,25,-4.250000,-2.250000,4.912717,74,1.000000,0.953376,0.012413,0,0
1,26,-4.250000,-1.750000,4.671167,66,0.704251,0.944021,0.012182,0,0
1,27,-4.250000,-1.250000,4.503736,113,0.991081,0.964615,0.012028,0,0
1,28,-4.250000,-0.750000,4.452519,137,0.174333,0.992135,0.011982,0,0
1,29,-4.250000,-0.250000,4.367555,121,0.148532,0.993658,0.011908,0,0
1,30,-4.250000,0.250000,4.366817,137,0.169976,0.993239,0.011907,0,0
1,31,-4.250000,0.750000,4.448535,133,0.202002,0.993298,0.011979,0,0
1,32,-4.250000,1.250000,4.548133,113,0.132354,0.994387,0.012069,0,0
1,33,-4.250000,1.750000,4.723070,101,0.278144,0.993249,0.012231,0,0
1,34,-4.250000,2.250000,4.867688,112,0.792413,0.977952,0.012369,0,0
1,35,-4.250000,2.750000,5.128136,52,0.856739,0.935959,0.012630,0,0
1,36,-4.250000,3.250000,5.424393,79,0.922351,0.958570,0.012942,0,0
1,37,-4.250000,3.750000,5.707667,12,0.093676,0.696053,0.013258,0,0
1,38,-4.250000,4.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
