ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,0,-4.750000,-14.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,1,-4.750000,-14.250000,14.905667,3,0.011081,0.222103,0.032218,0,0
0,2,-4.750000,-13.750000,14.741668,3,0.019771,0.256810,0.031732,0,0
0,3,-4.750000,-13.250000,14.085001,4,0.537192,0.327126,0.029839,0,0
0,4,-4.750000,-12.750000,13.691001,7,0.022080,0.484497,0.028744,0,0
0,5,-4.750000,-12.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,6,-4.750000,-11.750000,12.751801,5,0.184129,0.390583,0.026261,0,0
0,7,-4.750000,-11.250000,12.320801,5,0.035335,0.390099,0.025180,0,0
0,8,-4.750000,-10.750000,12.008251,12,0.029846,0.688393,0.024420,0,0
0,9,-4.750000,-10.250000,11.350667,3,1.000000,0.255540,0.022884,0,0
0,10,-4.750000,-9.750000,10.978072,14,0.059867,0.741857,0.022052,0,0
0,11,-4.750000,-9.250000,10.495692,13,0.158893,0.725035,0.021016,0,0
0,12,-4.750000,-8.750000,10.118667,3,0.029717,0.159358,0.020239,0,0
0,13,-4.750000,-8.250000,9.653001,4,0.133826,0.327453,0.019318,0,0
0,18,-4.750000,-5.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,19,-4.750000,-5.250000,7.041000,3,1.000000,0.256317,0.014958,0,0
0,20,-4.750000,-4.750000,6.861667,3,0.076609,0.255858,0.014708,0,0
0,21,-4.750000,-4.250000,6.526400,5,0.313915,0.392420,0.014259,0,0
0,22,-4.750000,-3.750000,6.583500,6,0.219509,0.438335,0.014334,0,0
0,23,-4.750000,-3.250000,6.031539,13,0.159221,0.723563,0.013638,0,0
0,24,-4.750000,-2.750000,5.746293,55,0.427002,0.987001,0.013302,0,0
0,25,-4.750000,-2.250000,5.579553,170,1.000000,0.980330,0.013113,0,0
0,26,-4.750000,-1.750000,5.336481,150,1.000000,0.982968,0.012848,0,0
0,27,-4.750000,-1.250000,5.253718,180,0.706653,0.995092,0.012760,0,0
0,28,-4.750000,-0.750000,5.108839,118,0.516034,0.995184,0.012610,0,0
0,29,-4.750000,-0.250000,5.007936,80,0.185968,0.996984,0.012508,0,0
0,30,-4.750000,0.250000,5.007076,66,0.518414,0.985228,0.012507,0,0
0,31,-4.750000,0.750000,5.111607,150,0.673464,0.995583,0.012613,0,0
0,32,-4.750000,1.250000,5.319380,92,0.098766,0.998297,0.012830,0,0
0,33,-4.750000,1.750000,5.351446,175,1.000000,0.979789,0.012864,0,0
0,34,-4.750000,2.250000,5.606250,84,0.658580,0.989652,0.013143,0,0
0,35,-4.750000,2.750000,5.762634,101,0.749474,0.988961,0.013321,0,0
0,36,-4.750000,3.250000,6.109874,102,0.605060,0.988069,0.013733,0,0
0,37,-4.750000,3.750000,6.444143,70,0.377340,0.979562,0.014153,0,0
0,38,-4.750000,4.250000,6.670000,6,0.095291,0.442126,0.014449,0,0
0,40,-4.750000,5.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,0,-4.250000,-14.750000,15.694445,9,0.053598,0.586789,0.034632,0,0
1,1,-4.250000,-14.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,2,-4.250000,-13.750000,14.522500,4,0.020616,0.314607,0.031090,0,0
1,3,-4.250000,-13.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,4,-4.250000,-12.750000,13.556002,4,0.019317,0.300598,0.028377,0,0
1,5,-4.250000,-12.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,6,-4.250000,-11.750000,12.560400,5,0.021474,0.383779,0.025776,0,0
1,8,-4.250000,-10.750000,11.468001,3,0.027458,0.251202,0.023152,0,0
1,9,-4.250000,-10.250000,11.336001,3,0.037623,0.252005,0.022850,0,0
1,10,-4.250000,-9.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,11,-4.250000,-9.250000,10.239858,7,0.042114,0.486953,0.020485,0,0
1,12,-4.250000,-8.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,13,-4.250000,-8.250000,9.448334,3,0.041144,0.232569,0.018927,0,0
1,17,-4.250000,-6.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,19,-4.250000,-5.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,22,-4.250000,-3.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,23,-4.250000,-3.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,24,-4.250000,-2.750000,5.069429,35,0.092935,0.946768,0.012570,0,0
1,25,-4.250000,-2.250000,4.882605,116,0.979276,0.964370,0.012384,0,0
1,26,-4.250000,-1.750000,4.669077,91,1.000000,0.933164,0.012180,0,0
1,27,-4.250000,-1.250000,4.584661,115,0.977255,0.983950,0.012102,0,0
1,28,-4.250000,-0.750000,4.460008,119,0.118655,0.992777,0.011989,0,0
1,29,-4.250000,-0.250000,4.406178,73,0.056649,0.992825,0.011941,0,0
1,30,-4.250000,0.250000,4.377530,115,0.404630,0.992193,0.011916,0,0
1,31,-4.250000,0.750000,4.473695,121,0.709141,0.989106,0.012001,0,0
1,32,-4.250000,1.250000,4.583117,77,0.043466,0.992319,0.012100,0,0
1,33,-4.250000,1.750000,4.691664,128,1.000000,0.952527,0.012201,0,0
1,34,-4.250000,2.250000,4.883501,70,0.765576,0.958006,0.012385,0,0
1,35,-4.250000,2.750000,5.144149,87,0.890683,0.963789,0.012646,0,0
1,36,-4.250000,3.250000,5.372139,66,0.578326,0.972066,0.012886,0,0
1,37,-4.250000,3.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,39,-4.250000,4.750000,6.560800,5,0.016621,0.391878,0.014304,0,0
1,40,-4.250000,5.250000,6.825334,3,0.318256,0.258104,0.014659,0,0
2,0,-3.750000,-14.750000,15.656667,6,0.054933,0.443523,0.034513,0,0
2,2,-3.750000,-13.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
2,3,-3.750000,-13.250000,13.789727,11,0.023406,0.644213,0.029016,0,0
2,4,-3.750000,-12.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,5,-3.750000,-12.250000,12.732750,8,0.024119,0.540889,0.026212,0,0
2,6,-3.750000,-11.750000,12.370143,7,0.029999,0.489609,0.025302,0,0
2,8,-3.750000,-10.750000,11.418888,9,0.034705,0.581235,0.023039,0,0
2,10,-3.750000,-9.750000,10.397667,3,0.688189,0.252108,0.020811,0,0
2,11,-3.750000,-9.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,12,-3.750000,-8.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,13,-3.750000,-8.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
2,14,-3.750000,-7.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
2,18,-3.750000,-5.750000,6.955334,3,0.060902,0.251526,0.014838,0,0
2,19,-3.750000,-5.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,20,-3.750000,-4.750000,6.020375,8,0.112628,0.533964,0.013624,0,0
2,21,-3.750000,-4.250000,5.772250,4,1.000000,0.322311,0.013332,0,0
2,22,-3.750000,-3.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
2,23,-3.750000,-3.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
2,24,-3.750000,-2.750000,4.719375,16,0.131378,0.785457,0.012227,0,0
2,25,-3.750000,-2.250000,4.488542,129,1.000000,0.953824,0.012015,0,0
2,26,-3.750000,-1.750000,4.249443,172,1.000000,0.883373,0.011806,0,0
2,27,-3.750000,-1.250000,4.112824,170,1.000000,0.960243,0.011692,0,0
2,28,-3.750000,-0.750000,4.091117,60,0.072436,0.990839,0.011674,0,0
2,29,-3.750000,-0.250000,4.099319,22,0.059614,0.851583,0.011680,0,0
2,30,-3.750000,0.250000,4.044676,37,0.052583,0.963999,0.011636,0,0
2,31,-3.750000,0.750000,4.132141,57,0.062458,0.990133,0.011707,0,0
2,32,-3.750000,1.250000,4.234037,54,0.037220,0.986935,0.011793,0,0
2,33,-3.750000,1.750000,4.253365,189,1.000000,0.940023,0.011809,0,0
2,34,-3.750000,2.250000,4.493763,130,0.920327,0.973829,0.012019,0,0
2,35,-3.750000,2.750000,4.722518,114,0.513612,0.982228,0.012230,0,0
2,36,-3.750000,3.250000,5.004089,102,0.614356,0.977731,0.012504,0,0
2,41,-3.750000,5.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
3,0,-3.250000,-14.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
3,3,-3.250000,-13.250000,13.626365,11,0.022243,0.637307,0.028568,0,0
3,5,-3.250000,-12.250000,12.699308,13,0.022958,0.705610,0.026127,0,0
3,7,-3.250000,-11.250000,11.563501,4,0.026009,0.282655,0.023371,0,0
3,8,-3.250000,-10.750000,11.373728,11,0.031663,0.640369,0.022936,0,0
3,9,-3.250000,-10.250000,10.712500,8,0.054072,0.537287,0.021476,0,0
3,10,-3.250000,-9.750000,10.312876,8,0.067394,0.538970,0.020636,0,0
3,11,-3.250000,-9.250000,9.821251,8,0.241729,0.542885,0.019646,0,0
3,12,-3.250000,-8.750000,9.484429,7,0.040073,0.495786,0.018995,0,0
3,13,-3.250000,-8.250000,8.951000,4,0.042525,0.325285,0.018012,0,0
3,16,-3.250000,-6.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
3,17,-3.250000,-6.250000,6.913000,3,0.051752,0.189981,0.014779,0,0
3,18,-3.250000,-5.750000,6.588813,16,0.318407,0.766424,0.014341,0,0
3,19,-3.250000,-5.250000,6.198375,8,0.270137,0.543700,0.013842,0,0
3,20,-3.250000,-4.750000,5.814889,9,0.185894,0.583460,0.013381,0,0
3,21,-3.250000,-4.250000,5.447000,12,0.450100,0.673031,0.012967,0,0
3,22,-3.250000,-3.750000,5.069715,7,0.169969,0.494548,0.012570,0,0
3,23,-3.250000,-3.250000,4.520750,8,0.118323,0.544273,0.012044,0,0
3,24,-3.250000,-2.750000,4.236464,28,0.107530,0.931763,0.011795,0,0
3,25,-3.250000,-2.250000,4.012933,235,1.000000,0.936069,0.011610,0,0
3,26,-3.250000,-1.750000,3.889017,174,1.000000,0.912232,0.011512,0,0
3,27,-3.250000,-1.250000,3.807858,35,0.348604,0.957877,0.011450,0,0
3,33,-3.250000,1.750000,3.943423,118,0.663551,0.960237,0.011555,0,0
3,34,-3.250000,2.250000,4.110364,154,0.850008,0.968172,0.011690,0,0
3,35,-3.250000,2.750000,4.386042,148,0.305817,0.992223,0.011924,0,0
