ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,2,-4.750000,-13.750000,14.513617,13,0.033667,0.720276,0.031065,0,0
0,3,-4.750000,-13.250000,14.407858,7,0.036420,0.488465,0.030759,0,0
0,4,-4.750000,-12.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,5,-4.750000,-12.250000,13.326539,13,0.042234,0.718621,0.027760,0,0
0,6,-4.750000,-11.750000,13.075800,5,0.043484,0.374545,0.027098,0,0
0,7,-4.750000,-11.250000,12.224335,3,0.042745,0.253015,0.024943,0,0
0,8,-4.750000,-10.750000,12.067000,10,0.064128,0.628291,0.024561,0,0
0,10,-4.750000,-9.750000,11.021273,22,0.080140,0.883952,0.022147,0,0
0,11,-4.750000,-9.250000,10.322858,7,0.063870,0.497231,0.020656,0,0
0,12,-4.750000,-8.750000,10.312267,15,0.043803,0.773703,0.020634,0,0
0,13,-4.750000,-8.250000,9.562819,11,0.091401,0.657249,0.019145,0,0
0,14,-4.750000,-7.750000,9.425500,4,0.094237,0.324874,0.018884,0,0
0,15,-4.750000,-7.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,16,-4.750000,-6.750000,8.466572,28,0.541450,0.928157,0.017168,0,0
0,17,-4.750000,-6.250000,8.147172,35,0.496045,0.952029,0.016638,0,0
0,18,-4.750000,-5.750000,7.703176,34,0.654047,0.959090,0.015934,0,0
0,19,-4.750000,-5.250000,7.355075,40,0.701621,0.966177,0.015410,0,0
0,20,-4.750000,-4.750000,6.997864,51,1.000000,0.931068,0.014897,0,0
0,21,-4.750000,-4.250000,6.699633,68,1.000000,0.981084,0.014489,0,0
0,22,-4.750000,-3.750000,6.402723,105,1.000000,0.965918,0.014099,0,0
0,23,-4.750000,-3.250000,6.145195,103,1.000000,0.983644,0.013776,0,0
0,24,-4.750000,-2.750000,5.883741,104,1.000000,0.975221,0.013462,0,0
0,25,-4.750000,-2.250000,5.568386,145,0.881524,0.991285,0.013101,0,0
0,26,-4.750000,-1.750000,5.381955,178,0.263146,0.997179,0.012897,0,0
0,27,-4.750000,-1.250000,5.314768,121,0.067581,0.997866,0.012825,0,0
0,28,-4.750000,-0.750000,5.104075,54,0.050256,0.992948,0.012605,0,0
0,29,-4.750000,-0.250000,5.261634,30,0.079426,0.942085,0.012768,0,0
0,30,-4.750000,0.250000,5.326697,33,0.029270,0.959671,0.012837,0,0
0,31,-4.750000,0.750000,5.140667,3,0.043576,0.257227,0.012643,0,0
0,32,-4.750000,1.250000,5.250676,71,0.523628,0.993668,0.012757,0,0
