ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,2,-4.750000,-13.750000,14.619431,14,0.046232,0.734075,0.031373,0,0
0,3,-4.750000,-13.250000,14.398385,13,0.045291,0.704550,0.030731,0,0
0,5,-4.750000,-12.250000,12.984201,5,0.042681,0.321260,0.026859,0,0
0,6,-4.750000,-11.750000,12.805201,15,0.058235,0.762229,0.026397,0,0
0,7,-4.750000,-11.250000,12.576286,14,0.050235,0.735675,0.025816,0,0
0,9,-4.750000,-10.250000,11.392438,16,0.063994,0.784029,0.022979,0,0
0,10,-4.750000,-9.750000,11.026533,15,0.081103,0.764225,0.022158,0,0
0,11,-4.750000,-9.250000,10.768428,14,0.056475,0.734574,0.021596,0,0
0,12,-4.750000,-8.750000,9.950167,18,0.084629,0.821807,0.019901,0,0
0,13,-4.750000,-8.250000,9.964279,18,0.063278,0.822132,0.019929,0,0
0,14,-4.750000,-7.750000,9.340782,32,0.133869,0.955573,0.018725,0,0
0,15,-4.750000,-7.250000,8.900650,37,0.026781,0.972215,0.017922,0,0
0,16,-4.750000,-6.750000,8.470726,51,0.139803,0.990679,0.017175,0,0
0,17,-4.750000,-6.250000,8.075356,45,0.170967,0.985190,0.016521,0,0
0,18,-4.750000,-5.750000,7.695925,53,0.232868,0.988185,0.015923,0,0
0,19,-4.750000,-5.250000,7.328619,55,0.166688,0.992693,0.015371,0,0
0,20,-4.750000,-4.750000,6.985265,64,0.140199,0.995430,0.014879,0,0
0,21,-4.750000,-4.250000,6.646808,78,0.078564,0.996708,0.014418,0,0
0,22,-4.750000,-3.750000,6.344125,112,1.000000,0.988752,0.014025,0,0
0,23,-4.750000,-3.250000,5.979679,59,1.000000,0.977614,0.013576,0,0
0,24,-4.750000,-2.750000,5.591631,84,0.628742,0.984058,0.013127,0,0
0,25,-4.750000,-2.250000,5.456976,166,1.000000,0.971463,0.012978,0,0
0,26,-4.750000,-1.750000,5.238332,234,1.000000,0.975694,0.012744,0,0
0,27,-4.750000,-1.250000,5.231241,204,0.426849,0.994374,0.012737,0,0
0,28,-4.750000,-0.750000,5.131112,179,0.126144,0.998358,0.012633,0,0
0,29,-4.750000,-0.250000,5.101754,183,0.358313,0.998184,0.012603,0,0
0,30,-4.750000,0.250000,5.058103,184,0.166054,0.998166,0.012558,0,0
0,31,-4.750000,0.750000,5.079543,184,0.221152,0.998095,0.012580,0,0
0,32,-4.750000,1.250000,5.183095,158,0.259087,0.997351,0.012686,0,0
0,33,-4.750000,1.750000,5.343906,148,0.454376,0.997576,0.012856,0,0
0,34,-4.750000,2.250000,5.512453,130,0.254038,0.997952,0.013039,0,0
0,35,-4.750000,2.750000,5.685516,128,0.640119,0.995458,0.013233,0,0
0,36,-4.750000,3.250000,6.070231,121,0.629814,0.995700,0.013685,0,0
0,37,-4.750000,3.750000,6.173119,51,0.411804,0.986904,0.013811,0,0
1,1,-4.250000,-14.250000,14.869272,11,0.047090,0.640491,0.032110,0,0
1,2,-4.250000,-13.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,4,-4.250000,-12.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,5,-4.250000,-12.250000,13.061156,13,0.044197,0.706404,0.027059,0,0
1,8,-4.250000,-10.750000,11.596938,16,0.060885,0.783709,0.023449,0,0
1,9,-4.250000,-10.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,10,-4.250000,-9.750000,10.501143,7,0.062670,0.458958,0.021027,0,0
1,11,-4.250000,-9.250000,10.260900,10,0.117111,0.624192,0.020529,0,0
1,12,-4.250000,-8.750000,9.977444,9,0.063856,0.558782,0.019955,0,0
1,13,-4.250000,-8.250000,9.231847,13,0.079744,0.709535,0.018523,0,0
1,14,-4.250000,-7.750000,8.880000,17,0.032720,0.811816,0.017885,0,0
1,15,-4.250000,-7.250000,8.642365,11,0.084730,0.639667,0.017469,0,0
1,16,-4.250000,-6.750000,8.062793,24,0.130782,0.900917,0.016501,0,0
1,17,-4.250000,-6.250000,7.615591,22,0.109011,0.879725,0.015800,0,0
1,18,-4.250000,-5.750000,7.161588,17,0.026177,0.803637,0.015129,0,0
1,19,-4.250000,-5.250000,6.915759,25,0.176911,0.903019,0.014783,0,0
1,20,-4.250000,-4.750000,6.440953,42,0.090641,0.977040,0.014149,0,0
1,21,-4.250000,-4.250000,6.139308,52,0.076577,0.986115,0.013769,0,0
1,22,-4.250000,-3.750000,5.793017,58,0.107547,0.989103,0.013356,0,0
1,23,-4.250000,-3.250000,5.486109,64,0.344820,0.986253,0.013010,0,0
1,24,-4.250000,-2.750000,5.160562,162,1.000000,0.973434,0.012663,0,0
1,25,-4.250000,-2.250000,5.016316,98,0.597900,0.961025,0.012516,0,0
1,26,-4.250000,-1.750000,4.732384,117,1.000000,0.956918,0.012240,0,0
1,27,-4.250000,-1.250000,4.547795,112,0.095613,0.993227,0.012068,0,0
1,28,-4.250000,-0.750000,4.473429,126,0.086849,0.993415,0.012001,0,0
1,29,-4.250000,-0.250000,4.395999,131,0.098288,0.993845,0.011932,0,0
1,30,-4.250000,0.250000,4.376688,125,0.123681,0.993498,0.011916,0,0
1,31,-4.250000,0.750000,4.436435,115,0.183172,0.993589,0.011968,0,0
1,32,-4.250000,1.250000,4.541853,122,0.182479,0.992199,0.012063,0,0
1,33,-4.250000,1.750000,4.709467,120,0.396592,0.992779,0.012218,0,0
1,34,-4.250000,2.250000,4.919672,110,0.423313,0.992831,0.012420,0,0
1,35,-4.250000,2.750000,5.055139,87,0.773456,0.983382,0.012555,0,0
1,36,-4.250000,3.250000,5.456724,47,0.148407,0.980928,0.012978,0,0
1,37,-4.250000,3.750000,5.631117,43,0.567975,0.978575,0.013171,0,0
2,0,-3.750000,-14.750000,15.094429,7,0.036250,0.447465,0.032784,0,0
2,1,-3.750000,-14.250000,14.979601,5,0.038228,0.326522,0.032439,0,0
2,4,-3.750000,-12.750000,13.267615,13,0.054237,0.706098,0.027603,0,0
2,5,-3.750000,-12.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
2,7,-3.750000,-11.250000,11.831539,13,0.056963,0.707086,0.023999,0,0
2,8,-3.750000,-10.750000,11.730750,4,0.050557,0.254103,0.023761,0,0
2,9,-3.750000,-10.250000,10.717999,3,0.058377,0.157015,0.021488,0,0
2,10,-3.750000,-9.750000,10.610939,16,0.061885,0.783212,0.021259,0,0
2,12,-3.750000,-8.750000,9.612101,10,0.124881,0.621712,0.019239,0,0
2,13,-3.750000,-8.250000,9.258647,17,0.087664,0.804162,0.018572,0,0
2,14,-3.750000,-7.750000,8.673896,19,0.100807,0.837977,0.017524,0,0
2,15,-3.750000,-7.250000,8.228951,20,0.031949,0.851092,0.016772,0,0
2,16,-3.750000,-6.750000,7.799316,19,0.042572,0.843039,0.016083,0,0
2,17,-3.750000,-6.250000,7.378371,27,0.054519,0.924248,0.015444,0,0
2,18,-3.750000,-5.750000,6.996144,35,0.029966,0.962384,0.014895,0,0
2,19,-3.750000,-5.250000,6.567963,54,0.123128,0.986988,0.014314,0,0
2,20,-3.750000,-4.750000,6.182492,59,0.096914,0.990015,0.013822,0,0
2,21,-3.750000,-4.250000,5.791289,62,0.088549,0.989476,0.013354,0,0
2,22,-3.750000,-3.750000,5.424662,68,0.169412,0.991136,0.012943,0,0
2,23,-3.750000,-3.250000,5.106481,100,0.179451,0.989384,0.012608,0,0
2,24,-3.750000,-2.750000,4.812482,81,0.133147,0.993055,0.012316,0,0
2,25,-3.750000,-2.250000,4.500440,175,1.000000,0.968182,0.012025,0,0
2,26,-3.750000,-1.750000,4.375924,133,1.000000,0.981677,0.011915,0,0
2,27,-3.750000,-1.250000,4.237451,80,0.371519,0.989261,0.011796,0,0
2,28,-3.750000,-0.750000,4.099566,67,0.200624,0.992994,0.011681,0,0
2,29,-3.750000,-0.250000,4.051939,83,0.055103,0.993829,0.011642,0,0
2,30,-3.750000,0.250000,4.026146,96,0.091600,0.993439,0.011621,0,0
2,31,-3.750000,0.750000,3.995509,148,0.173093,0.986593,0.011596,0,0
2,32,-3.750000,1.250000,4.103211,172,0.168671,0.993644,0.011684,0,0
2,33,-3.750000,1.750000,4.250259,139,0.244385,0.984333,0.011806,0,0
2,34,-3.750000,2.250000,4.476030,137,0.318469,0.993670,0.012003,0,0
2,35,-3.750000,2.750000,4.717464,170,1.000000,0.983763,0.012225,0,0
2,36,-3.750000,3.250000,5.021054,55,0.286841,0.973693,0.012521,0,0
2,37,-3.750000,3.750000,5.239364,11,0.202531,0.663814,0.012745,0,0
3,0,-3.250000,-14.750000,15.251079,13,0.048214,0.705878,0.033260,0,0
3,3,-3.250000,-13.250000,13.552501,6,0.051396,0.416422,0.028367,0,0
3,4,-3.250000,-12.750000,13.420627,8,0.050092,0.508734,0.028011,0,0
3,6,-3.250000,-11.750000,12.040800,5,0.050510,0.322324,0.024498,0,0
3,7,-3.250000,-11.250000,11.953899,10,0.057576,0.603118,0.024290,0,0
3,9,-3.250000,-10.250000,10.795001,17,0.073639,0.803708,0.021653,0,0
3,11,-3.250000,-9.250000,9.824150,20,0.069156,0.854261,0.019651,0,0
3,13,-3.250000,-8.250000,9.019083,12,0.147149,0.684843,0.018134,0,0
3,14,-3.250000,-7.750000,8.627437,16,0.087348,0.781917,0.017443,0,0
3,15,-3.250000,-7.250000,8.093175,23,0.013639,0.889285,0.016550,0,0
3,16,-3.250000,-6.750000,7.639850,40,0.077012,0.972312,0.015837,0,0
3,17,-3.250000,-6.250000,7.240144,14,0.138989,0.747737,0.015242,0,0
3,18,-3.250000,-5.750000,6.719679,25,0.097771,0.909848,0.014515,0,0
3,19,-3.250000,-5.250000,6.315701,67,0.292982,0.988259,0.013989,0,0
3,20,-3.250000,-4.750000,5.944972,35,0.101669,0.960811,0.013534,0,0
3,21,-3.250000,-4.250000,5.445642,78,0.183607,0.992916,0.012966,0,0
3,22,-3.250000,-3.750000,5.092277,65,0.104081,0.992005,0.012593,0,0
3,23,-3.250000,-3.250000,4.767879,92,0.117213,0.994448,0.012273,0,0
3,24,-3.250000,-2.750000,4.455975,122,0.330912,0.987555,0.011986,0,0
3,25,-3.250000,-2.250000,4.324441,34,0.063567,0.951848,0.011870,0,0
3,32,-3.250000,1.250000,3.887050,20,0.295978,0.842106,0.011511,0,0
3,33,-3.250000,1.750000,3.893429,168,0.258207,0.986283,0.011516,0,0
3,34,-3.250000,2.250000,4.061407,162,0.238633,0.988329,0.011650,0,0
3,35,-3.250000,2.750000,4.363605,193,1.000000,0.980492,0.011904,0,0
3,36,-3.250000,3.250000,4.676483,155,0.754471,0.965218,0.012187,0,0
4,0,-2.750000,-14.750000,15.475274,11,0.046633,0.638665,0.033948,0,0
4,3,-2.750000,-13.250000,13.649155,13,0.053615,0.705725,0.028630,0,0
4,6,-2.750000,-11.750000,12.145201,15,0.058913,0.760217,0.024751,0,0
4,8,-2.750000,-10.750000,10.987334,9,0.066464,0.560028,0.022072,0,0
4,9,-2.750000,-10.250000,10.899626,8,0.063507,0.511908,0.021880,0,0
4,10,-2.750000,-9.750000,10.012501,8,0.068942,0.511518,0.020025,0,0
4,11,-2.750000,-9.250000,9.941601,10,0.069867,0.603542,0.019884,0,0
4,12,-2.750000,-8.750000,9.175212,19,0.083512,0.838780,0.018418,0,0
4,13,-2.750000,-8.250000,8.749600,5,0.010941,0.392232,0.017656,0,0
4,14,-2.750000,-7.750000,8.348001,20,0.148034,0.858247,0.016969,0,0
4,15,-2.750000,-7.250000,7.797722,25,0.019199,0.908782,0.016080,0,0
4,16,-2.750000,-6.750000,7.367213,33,0.053501,0.955164,0.015428,0,0
