ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,10,-4.750000,-9.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,11,-4.750000,-9.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,13,-4.750000,-8.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,14,-4.750000,-7.750000,9.269857,7,0.373110,0.500500,0.018593,0,0
0,15,-4.750000,-7.250000,8.766636,11,0.169905,0.663348,0.017685,0,0
0,16,-4.750000,-6.750000,8.478214,14,0.567432,0.742844,0.017188,0,0
0,17,-4.750000,-6.250000,8.072062,33,1.000000,0.946446,0.016516,0,0
0,18,-4.750000,-5.750000,7.586812,21,0.816530,0.850506,0.015756,0,0
0,19,-4.750000,-5.250000,7.208184,55,1.000000,0.976924,0.015196,0,0
0,20,-4.750000,-4.750000,6.952651,43,0.836365,0.970158,0.014834,0,0
0,21,-4.750000,-4.250000,6.543719,39,0.872351,0.957410,0.014282,0,0
0,22,-4.750000,-3.750000,6.241519,52,1.000000,0.979278,0.013896,0,0
0,23,-4.750000,-3.250000,5.956524,90,1.000000,0.981410,0.013548,0,0
0,24,-4.750000,-2.750000,5.702546,128,1.000000,0.984313,0.013252,0,0
0,25,-4.750000,-2.250000,5.514807,119,0.914548,0.982760,0.013041,0,0
0,26,-4.750000,-1.750000,5.364226,124,1.000000,0.975993,0.012877,0,0
0,27,-4.750000,-1.250000,5.252911,189,1.000000,0.987593,0.012759,0,0
0,28,-4.750000,-0.750000,5.131536,183,0.573859,0.997570,0.012633,0,0
0,29,-4.750000,-0.250000,5.042192,187,0.226806,0.998047,0.012542,0,0
0,30,-4.750000,0.250000,5.016887,158,0.273573,0.997543,0.012517,0,0
0,31,-4.750000,0.750000,5.067148,162,0.374533,0.996626,0.012568,0,0
0,32,-4.750000,1.250000,5.272315,139,0.254372,0.997825,0.012780,0,0
0,33,-4.750000,1.750000,5.267395,152,0.334815,0.993518,0.012775,0,0
0,34,-4.750000,2.250000,5.509914,137,0.380093,0.997794,0.013036,0,0
0,35,-4.750000,2.750000,5.699928,110,1.000000,0.984210,0.013249,0,0
0,36,-4.750000,3.250000,6.067211,129,1.000000,0.976582,0.013681,0,0
0,37,-4.750000,3.750000,6.328263,65,0.587155,0.981630,0.014005,0,0
0,38,-4.750000,4.250000,6.519501,8,0.106560,0.539506,0.014250,0,0
0,39,-4.750000,4.750000,7.049166,12,0.079485,0.693498,0.014969,0,0
0,40,-4.750000,5.250000,7.196301,10,0.120740,0.628031,0.015179,0,0
0,44,-4.750000,7.250000,8.747601,5,1.000000,0.378151,0.017652,0,0
0,45,-4.750000,7.750000,9.040501,4,0.035267,0.326504,0.018173,0,0
0,46,-4.750000,8.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,13,-4.250000,-8.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
1,14,-4.250000,-7.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,15,-4.250000,-7.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,16,-4.250000,-6.750000,7.944667,3,0.485542,0.257353,0.016312,0,0
1,17,-4.250000,-6.250000,7.611150,20,0.914317,0.756605,0.015793,0,0
1,18,-4.250000,-5.750000,7.197000,19,1.000000,0.729245,0.015180,0,0
1,19,-4.250000,-5.250000,6.851970,33,0.767145,0.898752,0.014695,0,0
1,20,-4.250000,-4.750000,6.447858,35,0.574220,0.938924,0.014157,0,0
1,21,-4.250000,-4.250000,6.040589,34,0.871609,0.863831,0.013649,0,0
1,22,-4.250000,-3.750000,5.762385,26,1.000000,0.818134,0.013321,0,0
1,23,-4.250000,-3.250000,5.450032,63,1.000000,0.904982,0.012970,0,0
1,24,-4.250000,-2.750000,5.095417,91,1.000000,0.877590,0.012596,0,0
1,25,-4.250000,-2.250000,4.905414,70,1.000000,0.931238,0.012406,0,0
1,26,-4.250000,-1.750000,4.662406,64,0.663194,0.947059,0.012174,0,0
1,27,-4.250000,-1.250000,4.486775,120,1.000000,0.946391,0.012013,0,0
1,28,-4.250000,-0.750000,4.451400,140,0.153061,0.991795,0.011981,0,0
1,29,-4.250000,-0.250000,4.376024,124,0.133515,0.993851,0.011915,0,0
1,30,-4.250000,0.250000,4.367630,141,0.156700,0.993820,0.011908,0,0
1,31,-4.250000,0.750000,4.442045,136,0.194869,0.993367,0.011973,0,0
1,32,-4.250000,1.250000,4.563000,44,0.086735,0.983639,0.012082,0,0
1,33,-4.250000,1.750000,4.721447,101,0.259391,0.993894,0.012229,0,0
1,34,-4.250000,2.250000,4.857878,114,1.000000,0.972326,0.012360,0,0
1,35,-4.250000,2.750000,5.143264,53,1.000000,0.933429,0.012645,0,0
1,36,-4.250000,3.250000,5.430717,74,0.975766,0.942795,0.012949,0,0
1,37,-4.250000,3.750000,5.682667,15,0.100381,0.771806,0.013229,0,0
1,38,-4.250000,4.250000,6.162667,3,0.045982,0.256862,0.013798,0,0
1,43,-4.250000,6.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,44,-4.250000,7.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
